Date,Open,High,Low,Close,Adjusted_close,Volume
1980-01-02,493.5,493.5,493.5,493.5,493.5,0
1980-01-03,485.7,485.7,485.7,485.7,485.7,0
1980-01-04,491.8,491.8,491.8,491.8,491.8,0
1980-01-07,492.5,492.5,492.5,492.5,492.5,0
1980-01-08,494.1,494.1,494.1,494.1,494.1,0
1980-01-09,498,498,498,498,498,0
1980-01-10,497.2,497.2,497.2,497.2,497.2,0
1980-01-11,495.9,495.9,495.9,495.9,495.9,0
1980-01-14,493,493,493,493,493,0
1980-01-15,492.6,492.6,492.6,492.6,492.6,0
1980-01-16,491.4,491.4,491.4,491.4,491.4,0
1980-01-17,489.6,489.6,489.6,489.6,489.6,0
1980-01-18,484.2,484.2,484.2,484.2,484.2,0
1980-01-21,483.1,483.1,483.1,483.1,483.1,0
1980-01-22,488.7,488.7,488.7,488.7,488.7,0
1980-01-23,490.8,490.8,490.8,490.8,490.8,0
1980-01-24,496.5,496.5,496.5,496.5,496.5,0
1980-01-25,494.3,494.3,494.3,494.3,494.3,0
1980-01-28,492.6,492.6,492.6,492.6,492.6,0
1980-01-29,494.5,494.5,494.5,494.5,494.5,0
1980-01-30,497.1,497.1,497.1,497.1,497.1,0
1980-01-31,504,504,504,504,504,0
1980-02-01,509.1,509.1,509.1,509.1,509.1,0
1980-02-04,513.5,513.5,513.5,513.5,513.5,0
1980-02-05,513.4,513.4,513.4,513.4,513.4,0
1980-02-06,509.6,509.6,509.6,509.6,509.6,0
1980-02-07,515.3,515.3,515.3,515.3,515.3,0
1980-02-08,517.8,517.8,517.8,517.8,517.8,0
1980-02-11,516.3,516.3,516.3,516.3,516.3,0
1980-02-12,510.3,510.3,510.3,510.3,510.3,0
1980-02-13,521.3,521.3,521.3,521.3,521.3,0
1980-02-14,525.8,525.8,525.8,525.8,525.8,0
1980-02-15,523.9,523.9,523.9,523.9,523.9,0
1980-02-18,520.1,520.1,520.1,520.1,520.1,0
1980-02-19,525.3,525.3,525.3,525.3,525.3,0
1980-02-20,523.8,523.8,523.8,523.8,523.8,0
1980-02-21,528.9,528.9,528.9,528.9,528.9,0
1980-02-22,531.9,531.9,531.9,531.9,531.9,0
1980-02-25,535.2,535.2,535.2,535.2,535.2,0
1980-02-26,528.8,528.8,528.8,528.8,528.8,0
1980-02-27,528.7,528.7,528.7,528.7,528.7,0
1980-02-28,520.3,520.3,520.3,520.3,520.3,0
1980-02-29,521.5,521.5,521.5,521.5,521.5,0
1980-03-03,518.7,518.7,518.7,518.7,518.7,0
1980-03-04,513.3,513.3,513.3,513.3,513.3,0
1980-03-05,516.3,516.3,516.3,516.3,516.3,0
1980-03-06,511.3,511.3,511.3,511.3,511.3,0
1980-03-07,503.6,503.6,503.6,503.6,503.6,0
1980-03-10,503.4,503.4,503.4,503.4,503.4,0
1980-03-11,500.2,500.2,500.2,500.2,500.2,0
1980-03-12,504.7,504.7,504.7,504.7,504.7,0
1980-03-13,505.2,505.2,505.2,505.2,505.2,0
1980-03-14,504.4,504.4,504.4,504.4,504.4,0
1980-03-17,499.3,499.3,499.3,499.3,499.3,0
1980-03-18,488.7,488.7,488.7,488.7,488.7,0
